电影名称			评分		评分人数
指环王2：双塔奇兵			9.0		
飞越疯人院			9.1		
教父2			9.2		
狮子王			9.0		
指环王1：魔戒再现			9.0		
V字仇杀队			8.9		
美丽心灵			9.0		
饮食男女			9.1		
大闹天宫			9.3		
哈利·波特与魔法石			8.9		
海豚湾			9.3		
钢琴家			9.1		
情书			8.9		
本杰明·巴顿奇事			8.9		
黑客帝国			8.9		
看不见的客人			8.8		
西西里的美丽传说			8.8		
小鞋子			9.2		
让子弹飞			8.8		
拯救大兵瑞恩			9.0		
美国往事			9.2		
猫鼠游戏			8.9		
音乐之声			9.0		
致命魔术			8.8		
七宗罪			8.8		
