电影名称			评分		评分人数
玛丽和马克思			8.9		
消失的爱人			8.7		
小森林 夏秋篇			9.0		
杀人回忆			8.8		
告白			8.7		
请以你的名字呼唤我			8.8		
海蒂和爷爷			9.2		
大鱼			8.8		
一一			9.0		
爱在黎明破晓前			8.8		
阳光姐妹淘			8.8		
射雕英雄传之东成西就			8.7		
侧耳倾听			8.9		
红辣椒			9.0		
甜蜜蜜			8.8		
7号房的礼物			8.8		
倩女幽魂			8.7		
驯龙高手			8.7		
超脱			8.8		
哈利·波特与死亡圣器(下)			8.8		
小森林 冬春篇			9.0		
恐怖直播			8.8		
菊次郎的夏天			8.8		
爱在日落黄昏时			8.8		
蝙蝠侠：黑暗骑士崛起			8.7		
