电影名称			评分		评分人数
低俗小说			8.8		
被嫌弃的松子的一生			8.9		
穿条纹睡衣的男孩			9.1		
沉默的羔羊			8.8		
蝴蝶效应			8.8		
春光乍泄			8.9		
我不是药神			9.0		
勇敢的心			8.9		
心灵捕手			8.9		
天使爱美丽			8.7		
剪刀手爱德华			8.7		
禁闭岛			8.8		
布达佩斯大饭店			8.8		
阿凡达			8.7		
摩登时代			9.3		
幽灵公主			8.9		
入殓师			8.8		
加勒比海盗			8.7		
致命ID			8.7		
断背山			8.8		
阳光灿烂的日子			8.8		
喜剧之王			8.7		
重庆森林			8.7		
第六感			8.8		
狩猎			9.1		
