电影名称			评分		评分人数
蝙蝠侠：黑暗骑士			9.2		
活着			9.2		
乱世佳人			9.3		
控方证人			9.6		
少年派的奇幻漂流			9.0		
摔跤吧！爸爸			9.0		
指环王3：王者无敌			9.2		
鬼子来了			9.2		
天空之城			9.1		
飞屋环游记			9.0		
十二怒汉			9.4		
天堂电影院			9.2		
大话西游之月光宝盒			9.0		
哈尔的移动城堡			9.0		
寻梦环游记			9.0		
末代皇帝			9.2		
罗马假日			9.0		
搏击俱乐部			9.0		
闻香识女人			9.0		
素媛			9.2		
辩护人			9.2		
窃听风暴			9.1		
死亡诗社			9.0		
何以为家			9.1		
两杆大烟枪			9.1		
